Epoch,Steps,Full Gradient Norm
1,6250,0.17002902789094432
2,12500,0.17149741648266603
3,18750,0.18869254726791704
4,25000,0.18226521033197207
5,31250,0.15989122452200213
6,37500,0.14770139111210195
7,43750,0.1349109546562731
8,50000,0.1323050591373632
9,56250,0.13121085104891383
10,62500,0.1233807016526808
11,68750,0.13555711913918733
12,75000,0.10876194827857227
13,81250,0.10994264586170358
14,87500,0.12495066567527666
15,93750,0.1297355593571052
16,100000,0.11245071224426378
17,106250,0.10557755727123926
18,112500,0.1078448119881594
19,118750,0.10704156023372578
20,125000,0.11185303824862228
21,131250,0.09363757791753488
22,137500,0.0965941850149848
23,143750,0.08409550119839519
24,150000,0.0955873182442274
25,156250,0.10773200971007982
26,162500,0.08858767638564372
27,168750,0.08797160457465968
28,175000,0.0858219808514061
29,181250,0.0928740701761913
30,187500,0.09324249404010664
31,190625,0.050627924868776236
32,193750,0.056840354269788125
33,196875,0.06004768243779571
34,200000,0.06162912630960906
35,203125,0.05780978183914911
36,206250,0.05484527438687697
37,209375,0.05952547679501427
38,212500,0.06138833127650958
39,215625,0.05392114668030027
40,218750,0.04780662884819146
41,221875,0.055519139211926825
42,225000,0.05083327434045378
43,228125,0.04579439241825909
44,231250,0.0469155579999177
45,234375,0.05060414548369637
46,237500,0.05321490207954998
47,240625,0.046803528704935225
48,243750,0.04634506203842896
49,246875,0.047702729553286444
50,250000,0.04343215019005787
51,253125,0.04201394119720317
52,256250,0.03756962537093125
53,259375,0.04018862477681738
54,262500,0.04073649298396746
55,265625,0.0370646630741116
56,268750,0.04623660924602671
57,271875,0.0406227375230686
58,275000,0.037758630460067125
59,278125,0.03532234959080101
60,281250,0.03816970708061209
61,282813,0.02311760529799392
62,284376,0.02172615205732661
63,285939,0.023896081082143153
64,287502,0.02170185255618581
65,289065,0.021639508378868154
66,290628,0.02014606259827911
67,292191,0.021146072997939518
68,293754,0.021596189723834525
69,295317,0.02085387063333936
70,296880,0.019610978668550865
71,298443,0.019758503848512417
72,300006,0.019404102208527115
73,301569,0.019932340333778515
74,303132,0.018994647004840135
75,304695,0.019621315516818786
76,306258,0.01877459926145003
77,307821,0.018558337139346792
78,309384,0.018946794806138485
79,310947,0.01868701718697266
80,312510,0.018650311913683108
81,314073,0.01809241111804098
82,315636,0.018422183795849482
83,317199,0.01767007059061227
84,318762,0.018014706998919106
85,320325,0.017686289866911644
86,321888,0.01819787627645613
87,323451,0.016779766692278073
88,325014,0.016943180918244267
89,326577,0.01784956652778418
90,328140,0.016407051337486094
91,328922,0.013573294251013503
92,329704,0.014257988279103129
93,330486,0.014313443246410377
94,331268,0.013695308898029342
95,332050,0.013544022470888139
96,332832,0.01343224415587523
97,333614,0.013413807914016041
98,334396,0.012541208484188254
99,335178,0.013920146395979717
100,335960,0.013345794937136734
101,336742,0.013612020875458134
102,337524,0.01373793168987295
103,338306,0.013182377400033266
104,339088,0.013030864983761473
105,339870,0.01343751605654108
106,340652,0.013333917897062992
107,341434,0.012897235391808823
108,342216,0.013117197939102853
109,342998,0.01316855805127417
110,343780,0.013162281093762931
111,344562,0.012907484129127315
112,345344,0.012533539163177407
113,346126,0.012802586619237206
114,346908,0.012508296678380316
115,347690,0.012776329929284572
116,348472,0.012756485983398529
117,349254,0.013695435932651366
118,350036,0.01299504917900366
119,350818,0.012882876326491644
120,351600,0.01277778325483165
121,351991,0.011115009241880492
122,352382,0.01182025028376304
123,352773,0.011654574276842179
124,353164,0.012277993285843445
125,353555,0.011707778448399948
126,353946,0.01204843808603958
127,354337,0.011794513077176943
128,354728,0.011202667148389661
129,355119,0.011920477045950992
130,355510,0.011577051853553445
131,355901,0.012074499148595152
132,356292,0.01131121460333036
133,356683,0.011988307755865605
134,357074,0.011334150395222373
135,357465,0.011585295217191812
136,357856,0.011508880353756037
137,358247,0.012073408727450705
138,358638,0.011197034187341222
139,359029,0.011207888629992713
140,359420,0.01154072074021259
141,359811,0.011613227063140646
142,360202,0.011174833469598529
143,360593,0.011446889004710236
144,360984,0.01184335909826335
145,361375,0.01138012840776952
146,361766,0.01152370010987166
147,362157,0.011383395373137251
148,362548,0.011687350304840518
149,362939,0.01136713192070522
150,363330,0.011086392523471248
151,363526,0.011437519512571274
152,363722,0.011065739230821664
153,363918,0.011247357243143625
154,364114,0.010934642567166532
155,364310,0.01120079030631679
156,364506,0.010960546607144671
157,364702,0.011240733889993153
158,364898,0.011369715992514592
159,365094,0.011284286919256148
160,365290,0.010958694962877163
161,365486,0.011019560057263636
162,365682,0.010416282708745327
163,365878,0.011097236038728678
164,366074,0.01071070096431112
165,366270,0.01059969426141971
166,366466,0.010910274167272667
167,366662,0.010999812480460022
168,366858,0.010962665061623977
169,367054,0.0107011145608587
170,367250,0.01149175268799529
171,367446,0.010658931317500404
172,367642,0.011549599733537256
173,367838,0.011148603401839334
174,368034,0.011079691576004172
175,368230,0.01096833641477787
176,368426,0.01032253837892852
177,368622,0.01148241170701464
178,368818,0.011058539132775784
179,369014,0.010988890320928351
180,369210,0.010689094569202591
181,369308,0.009994610427028485
182,369406,0.011204112586966452
183,369504,0.010376054358933653
184,369602,0.01034386759938423
185,369700,0.010902376050470815
186,369798,0.010592886931137682
187,369896,0.010968921362741454
188,369994,0.010394924179356477
189,370092,0.010079411197094641
190,370190,0.010338266254888893
191,370288,0.010787128379077669
192,370386,0.010123611307470783
193,370484,0.010767315766263413
194,370582,0.01050366832891487
195,370680,0.0099570704100386
196,370778,0.010398710833308329
197,370876,0.010530659500452427
198,370974,0.011006508703425543
199,371072,0.010884108079267305
200,371170,0.010688729191353533
201,371268,0.010342295540363342
202,371366,0.010815896988511963
203,371464,0.010237317682963288
204,371562,0.010310781721793552
205,371660,0.010398413190485258
206,371758,0.010538109006407087
207,371856,0.010511019344826868
208,371954,0.010681924186932788
209,372052,0.010542973957797283
210,372150,0.010433308655920449
211,372199,0.010596321610119402
212,372248,0.010563770194154182
213,372297,0.010333469402875177
214,372346,0.010594451628189006
215,372395,0.010858515030545616
216,372444,0.00993375372722423
217,372493,0.01104319851444313
218,372542,0.00981843718983477
219,372591,0.010474697480309937
220,372640,0.010559275206044131
221,372689,0.010482229893390262
222,372738,0.010122080197681122
223,372787,0.01055260308360604
224,372836,0.010212230918111638
225,372885,0.011068596381070706
226,372934,0.010109619291895598
227,372983,0.010488170441616889
228,373032,0.010474613416066607
229,373081,0.010828450221822402
230,373130,0.010907999072677022
231,373179,0.01026415827214732
232,373228,0.01058711272520112
233,373277,0.010105503190570254
234,373326,0.010173052141498256
235,373375,0.010285379811544686
236,373424,0.010310443827971196
237,373473,0.01037504806061637
238,373522,0.010138405985396766
239,373571,0.010429394715616044
240,373620,0.010112787503262988
241,373645,0.011263688018118476
242,373670,0.01052098577278272
243,373695,0.011105269234839097
244,373720,0.010686436292807158
245,373745,0.010533856230538534
246,373770,0.010631521381175837
247,373795,0.010631748646955918
248,373820,0.010993534978149347
249,373845,0.01025964097230351
250,373870,0.01103435466521769
251,373895,0.010977700336822509
252,373920,0.010878024771627115
253,373945,0.011048566506157683
254,373970,0.010452774594501155
255,373995,0.010745035296929271
256,374020,0.011162881682886365
257,374045,0.010584678160172032
258,374070,0.010256321398803456
259,374095,0.010471037103823338
260,374120,0.010688353169936902
261,374145,0.011559077998880358
262,374170,0.010436930147884785
263,374195,0.01096314823995566
264,374220,0.011052386773915405
265,374245,0.01142460672801489
266,374270,0.010403791974460406
267,374295,0.010855466672019299
268,374320,0.010255662702652912
269,374345,0.010484510243358554
270,374370,0.010241931655429826
271,374383,0.01249028721869423
272,374396,0.012236862609568168
273,374409,0.014025735825105573
274,374422,0.0119506087066744
275,374435,0.012169699476675773
276,374448,0.011987493221964407
277,374461,0.011916242908299872
278,374474,0.010678796000304665
279,374487,0.01177573991026284
280,374500,0.011987093444853214
281,374513,0.011083827646258933
282,374526,0.012542134381510963
283,374539,0.011743643922675372
284,374552,0.01214960430382483
285,374565,0.013222195367696558
286,374578,0.012111100855874725
287,374591,0.012735442633621523
288,374604,0.012136261236841642
289,374617,0.01340424394948112
290,374630,0.011966495863791022
291,374643,0.011454039675164595
292,374656,0.011520618900187664
293,374669,0.011329564580173581
294,374682,0.012147526307907835
295,374695,0.012837566685524824
296,374708,0.011112576646487248
297,374721,0.012645392305150185
298,374734,0.012560674053814131
299,374747,0.011536121034909511
300,374760,0.011475485203615035
