Epoch,Steps,Train Loss,Train Accuracy,Learning Rate
1,6250,4.323394346160889,4.222,0.09833226598356282
2,12500,3.717884150600433,12.432,0.09666453196712563
3,18750,3.338101529636383,19.246,0.09499679795068844
4,25000,3.078974183502197,24.174,0.09332906393425126
5,31250,2.8421330317687987,28.9,0.09166132991781407
6,37500,2.630433231115341,33.122,0.08999359590137689
7,43750,2.426040985736847,37.488,0.0883258618849397
8,50000,2.263884603071213,40.728,0.08665812786850252
9,56250,2.122565949482918,43.662,0.08499039385206533
10,62500,2.0018118536496163,46.152,0.08332265983562814
11,68750,1.9024164237451553,48.624,0.08165492581919095
12,75000,1.7992921818327903,51.202,0.07998719180275377
13,81250,1.7234474002158642,52.696,0.07831945778631658
14,87500,1.6470610393047334,54.67,0.07665172376987939
15,93750,1.5783775849866868,55.928,0.07498398975344221
16,100000,1.5110958332383633,57.794,0.07331625573700502
17,106250,1.4470134742361307,59.202,0.07164852172056783
18,112500,1.3926753946387769,60.54,0.06998078770413065
19,118750,1.3358158903431891,61.898,0.06831305368769346
20,125000,1.281563607313633,63.334,0.06664531967125627
21,131250,1.233580752452612,64.742,0.06497758565481908
22,137500,1.1678368993464112,66.278,0.0633098516383819
23,143750,1.1176529962837696,67.352,0.061642117621944714
24,150000,1.0806782084351778,68.394,0.05997438360550753
25,156250,1.0279400140702724,69.808,0.058306649589070336
26,162500,0.9912161474648118,70.748,0.056638915572633154
27,168750,0.9447652132999897,72.128,0.05497118155619596
28,175000,0.9033613743816317,72.908,0.053303447539758776
29,181250,0.8659707516366243,74.184,0.051635713523321594
30,187500,0.8298430959063768,74.88,0.04996797950688441
31,190625,0.580801043266654,81.942,0.04913411249866582
32,193750,0.5161377621066571,83.914,0.04830024549044723
33,196875,0.4848865153259039,84.974,0.04746637848222862
34,200000,0.4533621520280838,85.634,0.046632511474010034
35,203125,0.42360698666006324,86.466,0.04579864446579144
36,206250,0.4108463851296902,86.836,0.04496477745757285
37,209375,0.3838473866042495,87.762,0.04413091044935426
38,212500,0.35848829747617245,88.566,0.04329704344113566
39,215625,0.3347802752935886,89.25,0.042463176432917075
40,218750,0.3274411913406849,89.568,0.041629309424698474
41,221875,0.3082691264399886,89.918,0.04079544241647988
42,225000,0.29233955199465156,90.54,0.039961575408261285
43,228125,0.2788495146590471,91.002,0.0391277084000427
44,231250,0.26197906362056733,91.542,0.0382938413918241
45,234375,0.2476497596936673,91.902,0.03745997438360551
46,237500,0.2294594943960011,92.624,0.03662610737538692
47,240625,0.2243426154909283,92.776,0.035792240367168326
48,243750,0.21916557027488948,92.812,0.034958373358949725
49,246875,0.20060611006133258,93.46,0.03412450635073113
50,250000,0.20058341247543693,93.374,0.03329063934251254
51,253125,0.1854840174522996,93.906,0.03245677233429395
52,256250,0.17539436586227267,94.198,0.03162290532607536
53,259375,0.1649728234691918,94.614,0.030789038317856766
54,262500,0.155205782122463,94.868,0.029955171309638175
55,265625,0.15027488871209324,94.91,0.02912130430141957
56,268750,0.1451556672103703,95.234,0.02828743729320098
57,271875,0.14127184498474002,95.416,0.02745357028498239
58,275000,0.13246449178861455,95.648,0.026619703276763797
59,278125,0.12802833604894578,95.764,0.025785836268545206
60,281250,0.11906307829121128,96.062,0.024951969260326612
61,282813,0.0794639151377433,97.452,0.024534902337496
62,284376,0.06663040159465608,97.87,0.02411783541466539
63,285939,0.06454158596218083,97.942,0.02370076849183478
64,287502,0.06441734698946663,97.942,0.023283701569004167
65,289065,0.06163692194097023,98.168,0.022866634646173556
66,290628,0.056963927569392156,98.204,0.022449567723342945
67,292191,0.054858459557446976,98.276,0.022032500800512323
68,293754,0.057209882990982064,98.27,0.021615433877681712
69,295317,0.05340590174832028,98.302,0.0211983669548511
70,296880,0.05119951038970091,98.378,0.02078130003202049
71,298443,0.05089658871717615,98.446,0.02036423310918988
72,300006,0.048577961230926725,98.482,0.019947166186359267
73,301569,0.04671117525448459,98.516,0.019530099263528656
74,303132,0.04694975434709519,98.564,0.019113032340698045
75,304695,0.0458538642282966,98.542,0.018695965417867434
76,306258,0.04565301121762815,98.596,0.018278898495036822
77,307821,0.041807911683422,98.756,0.01786183157220621
78,309384,0.042455364040948775,98.688,0.0174447646493756
79,310947,0.03989869142839028,98.76,0.01702769772654499
80,312510,0.03980450595966874,98.762,0.016610630803714378
81,314073,0.04019937562691888,98.76,0.016193563880883766
82,315636,0.03940097385267706,98.812,0.015776496958053155
83,317199,0.03903203187323049,98.788,0.015359430035222544
84,318762,0.03568634769623957,98.894,0.014942363112391933
85,320325,0.03548772252305254,98.936,0.014525296189561322
86,321888,0.03593995798679643,98.906,0.01410822926673071
87,323451,0.036528424950239384,98.916,0.0136911623439001
88,325014,0.03566099808843564,98.852,0.013274095421069488
89,326577,0.037491281414474525,98.844,0.012857028498238877
90,328140,0.03510500594174894,98.91,0.012439961575408266
91,328922,0.027071560714709456,99.18,0.012231294695271644
92,329704,0.024189339288661633,99.282,0.012022627815135023
93,330486,0.025938381979246732,99.23,0.011813960934998403
94,331268,0.024702549586534058,99.248,0.011605294054861782
95,332050,0.025092300747686765,99.248,0.011396627174725161
96,332832,0.024493049704553106,99.232,0.01118796029458854
97,333614,0.023086957761522413,99.33,0.010979293414451918
98,334396,0.024632123437986406,99.286,0.010770626534315299
99,335178,0.02332019118521877,99.336,0.010561959654178677
100,335960,0.023710753761090175,99.318,0.010353292774042056
101,336742,0.023351873365028992,99.314,0.010144625893905435
102,337524,0.024244731695264997,99.302,0.009935959013768814
103,338306,0.022744920125583667,99.366,0.009727292133632194
104,339088,0.02293443053489184,99.36,0.009518625253495573
105,339870,0.02316304372460998,99.27,0.009309958373358952
106,340652,0.023778589547622492,99.302,0.00910129149322233
107,341434,0.021417720821689662,99.356,0.008892624613085709
108,342216,0.021597877766191483,99.35,0.008683957732949088
109,342998,0.022310733785191814,99.342,0.008475290852812468
110,343780,0.023446832532229858,99.328,0.008266623972675847
111,344562,0.022245729749482197,99.35,0.008057957092539226
112,345344,0.021560720591883287,99.406,0.007849290212402604
113,346126,0.02115847671080245,99.348,0.007640623332265984
114,346908,0.02194303899980061,99.364,0.007431956452129363
115,347690,0.020791616642212286,99.398,0.007223289571992742
116,348472,0.020910185856281367,99.386,0.007014622691856121
117,349254,0.022232615300650706,99.334,0.0068059558117195
118,350036,0.021083601403718247,99.382,0.006597288931582879
119,350818,0.020447239671941595,99.398,0.006388622051446258
120,351600,0.01998607812376688,99.416,0.0061799551713096375
121,351991,0.017979779480206196,99.48,0.006075621731241332
122,352382,0.01736857151241063,99.508,0.005971288291173016
123,352773,0.01751614477970135,99.516,0.005866954851104712
124,353164,0.017562072632698548,99.518,0.005762621411036395
125,353555,0.017269167410748083,99.508,0.00565828797096809
126,353946,0.01676095322833237,99.53,0.0055539545308997745
127,354337,0.01829024791465048,99.49,0.005449621090831469
128,354728,0.018541177409603392,99.47,0.005345287650763153
129,355119,0.01804983765547833,99.474,0.005240954210694849
130,355510,0.017310404467344036,99.528,0.005136620770626533
131,355901,0.017670485445314927,99.51,0.005032287330558227
132,356292,0.018346517844020825,99.5,0.0049279538904899115
133,356683,0.017150561346986885,99.514,0.004823620450421607
134,357074,0.01723815613757352,99.524,0.00471928701035329
135,357465,0.017821681722367415,99.536,0.004614953570284986
136,357856,0.017270743849870686,99.522,0.00451062013021667
137,358247,0.016318033199252374,99.54,0.004406286690148364
138,358638,0.016644957558135203,99.534,0.0043019532500800485
139,359029,0.017393458358910117,99.488,0.004197619810011744
140,359420,0.01754008080063583,99.478,0.004093286369943427
141,359811,0.017376001385073926,99.504,0.003988952929875123
142,360202,0.017633642471047675,99.482,0.003884619489806807
143,360593,0.0167216395630556,99.544,0.003780286049738502
144,360984,0.017663357666838925,99.518,0.0036759526096701856
145,361375,0.01657355106417852,99.55,0.003571619169601881
146,361766,0.016688201545357773,99.514,0.0034672857295335647
147,362157,0.017643669620751763,99.472,0.0033629522894652597
148,362548,0.017997921892272693,99.474,0.003258618849396944
149,362939,0.017536838797380782,99.49,0.003154285409328639
150,363330,0.016952612511742182,99.522,0.003049951969260323
151,363526,0.015181757634439106,99.59,0.002997651830504855
152,363722,0.015197626971972309,99.568,0.0029453516917493875
153,363918,0.015437422124241307,99.59,0.0028930515529939195
154,364114,0.015579185068455279,99.568,0.0028407514142384407
155,364310,0.015345904103014618,99.574,0.0027884512754829728
156,364506,0.01552698415898889,99.554,0.0027361511367275052
157,364702,0.01512685844707968,99.63,0.0026838509979720373
