Epoch,Steps,Full Gradient Norm
1,6250,0.20168969628915012
2,12500,0.21543817417148267
3,18750,0.20195555176287844
4,25000,0.1455358489058377
5,31250,0.15129567233902602
6,37500,0.15179795751302896
7,43750,0.15267276185876266
8,50000,0.13534532316629683
9,56250,0.12492542836427324
10,62500,0.11478238009695177
11,68750,0.14634670612383965
12,75000,0.10962135243990134
13,81250,0.10359087865192998
14,87500,0.12190731778250327
15,93750,0.10277500237835754
16,100000,0.09919196848919289
17,106250,0.10722975793659707
18,112500,0.09860134110962913
19,118750,0.09690448747131714
20,125000,0.10282755547360309
21,131250,0.0864469902299723
22,137500,0.09032297941443002
23,143750,0.0881380117355222
24,150000,0.08736381822558979
25,156250,0.09547063758443429
26,162500,0.09131571422604956
27,168750,0.09478872891753069
28,175000,0.0779776198174523
29,181250,0.0748201206051481
30,187500,0.07423633523847266
31,190625,0.05237823856184656
32,193750,0.048447933105752586
33,196875,0.0559490436141136
34,200000,0.05112149731302551
35,203125,0.050970015092509764
36,206250,0.04877885346350106
37,209375,0.052168713619745996
38,212500,0.044463018790770276
39,215625,0.04916490499849901
40,218750,0.05091967521046296
41,221875,0.04668229945079296
42,225000,0.04847792435835079
43,228125,0.04339087386969144
44,231250,0.044311758108845155
45,234375,0.04359744256854121
46,237500,0.040952767450564975
47,240625,0.0415823630230451
48,243750,0.04318568461836807
49,246875,0.0378389748949301
50,250000,0.03579019542104243
51,253125,0.039527630166089615
52,256250,0.03455302056958775
53,259375,0.03705227555239754
54,262500,0.03460787033883396
55,265625,0.03391960228075528
56,268750,0.03415755944059272
57,271875,0.033970216318049806
58,275000,0.03219256950789163
59,278125,0.031228229400905992
60,281250,0.03255861071212756
61,282813,0.02458822245385706
62,284376,0.02396826056436516
63,285939,0.024413486888085333
64,287502,0.023488996658786628
65,289065,0.023780777260604673
66,290628,0.02360784697062673
67,292191,0.02419906040137409
68,293754,0.023070817912268667
69,295317,0.023133577484509116
70,296880,0.023051257330675902
71,298443,0.023403611971091868
72,300006,0.022350730494022513
73,301569,0.02289175461668091
74,303132,0.02338388491162479
75,304695,0.022777767511846923
76,306258,0.0226878566890129
77,307821,0.023042328262180896
78,309384,0.022169303778189712
79,310947,0.022602720894497986
80,312510,0.022958451398309408
81,314073,0.022084053876763415
82,315636,0.02227627742535153
83,317199,0.021756619206197425
84,318762,0.0220733027255218
85,320325,0.022118371213919328
86,321888,0.02178160445890778
87,323451,0.022253267037913027
88,325014,0.021831500424095457
89,326577,0.021086111340479836
90,328140,0.02101810142952518
91,328922,0.019475237621900756
92,329704,0.01922433476887941
93,330486,0.01916383235256735
94,331268,0.0194778390165451
95,332050,0.019146167497806243
96,332832,0.018738433381935017
97,333614,0.01933903789747649
98,334396,0.018858824621232943
99,335178,0.01947957189149934
100,335960,0.01930335939212546
101,336742,0.01899001092347015
102,337524,0.018759125817871862
103,338306,0.018955083992646532
104,339088,0.019073140215546663
105,339870,0.019277144303365145
106,340652,0.019106333540977464
107,341434,0.018510535023206143
108,342216,0.01859047868100945
109,342998,0.019035957604180812
110,343780,0.019688578970415625
111,344562,0.018885439611083132
112,345344,0.018837657378189977
113,346126,0.01920949178342964
114,346908,0.019302269370099816
115,347690,0.018764448019739498
116,348472,0.01880378099280265
117,349254,0.01892114198528181
118,350036,0.01964641323689811
119,350818,0.018627350986715262
120,351600,0.01911268733711929
121,351991,0.018295664040159806
122,352382,0.0171002639724049
123,352773,0.017316818095475157
124,353164,0.01733669898762855
125,353555,0.017970884852091393
126,353946,0.017438338837219187
127,354337,0.017409208475565943
128,354728,0.017540773080009866
129,355119,0.017434294212800315
130,355510,0.017981312851490006
131,355901,0.017633021594104598
132,356292,0.018010382984388684
133,356683,0.01711696778924425
134,357074,0.01760522773525151
135,357465,0.017346808832093445
136,357856,0.018041054809509915
137,358247,0.017483935623497926
138,358638,0.017058177750922814
139,359029,0.01801675168306427
140,359420,0.017467038969538218
141,359811,0.017344806434315227
142,360202,0.01813563945336164
143,360593,0.017715948443276123
144,360984,0.017509438877938176
145,361375,0.01740997163545889
146,361766,0.017595418398916606
147,362157,0.01691350432152789
148,362548,0.017396730577923993
149,362939,0.017707402436070552
150,363330,0.017707227343715215
151,363526,0.01724286553410223
152,363722,0.017389225550937255
153,363918,0.016840993781248394
154,364114,0.017398809402573722
155,364310,0.01796584401287073
156,364506,0.01675239980845453
157,364702,0.01659838671745605
158,364898,0.016521479627180608
159,365094,0.017142479853531168
160,365290,0.01663754062360814
161,365486,0.01730480264691904
162,365682,0.017717725393484287
163,365878,0.01715825272738752
164,366074,0.017737394128938457
165,366270,0.01659674422308366
166,366466,0.01744017953069488
167,366662,0.017227835154897248
168,366858,0.01686662758597073
169,367054,0.016961053509932135
170,367250,0.016981206142831926
171,367446,0.01736064975783629
172,367642,0.01774856649964201
173,367838,0.017418275017074134
174,368034,0.01722919592529195
175,368230,0.017088414428732743
176,368426,0.017036863750076518
177,368622,0.016987879482825447
178,368818,0.016949686148282052
179,369014,0.017321880592228434
180,369210,0.016706403175091474
181,369308,0.017315051368998
182,369406,0.016718755706462408
183,369504,0.016995134241560676
184,369602,0.016718943873901635
185,369700,0.017004396211498084
186,369798,0.01676215664164032
187,369896,0.016991767703543093
188,369994,0.016263379919496338
189,370092,0.016841959309135512
190,370190,0.016906784336249873
191,370288,0.01687908697292242
192,370386,0.016495051331523406
193,370484,0.016755368559403103
194,370582,0.017173409389802552
195,370680,0.016804283340422096
196,370778,0.016859391252641225
197,370876,0.016995616224162943
198,370974,0.01666930475360748
199,371072,0.016863870900301385
200,371170,0.01685244206673602
201,371268,0.01740403776667996
202,371366,0.017397205463385766
203,371464,0.017039109363618573
204,371562,0.01683149108004042
205,371660,0.017035686322991895
206,371758,0.016497333874880126
207,371856,0.016582619359303635
208,371954,0.017190263673674044
209,372052,0.016763429368353587
210,372150,0.016993957248127446
211,372199,0.016805179515092673
212,372248,0.017160410337318473
213,372297,0.016841988584001658
214,372346,0.01690282028106968
215,372395,0.016850136433332445
216,372444,0.01671369000968682
217,372493,0.016295669047161027
218,372542,0.016639515563272877
219,372591,0.016806223860371543
220,372640,0.01666714874390226
221,372689,0.01698363274684012
222,372738,0.016639013206719504
223,372787,0.016575726717708152
224,372836,0.016616007037858933
225,372885,0.01676255415267742
226,372934,0.016586847509907975
227,372983,0.016947550024282356
228,373032,0.01657757334026327
229,373081,0.016288608802473514
230,373130,0.016811731991943267
231,373179,0.016721157082761614
232,373228,0.01701552310588907
233,373277,0.016891964632933194
234,373326,0.01672841893008912
235,373375,0.016691546017669485
236,373424,0.017031559516097413
237,373473,0.016698116466609222
238,373522,0.016876188265665587
239,373571,0.016614471184691237
240,373620,0.016651568770583308
241,373645,0.0168693141053044
242,373670,0.017934224608500665
243,373695,0.01735126098194507
244,373720,0.017480529220334683
245,373745,0.017368074000344746
246,373770,0.017267059060486346
247,373795,0.017105066995404556
248,373820,0.017146600900907034
249,373845,0.017623657177966698
250,373870,0.01668798055190943
251,373895,0.017280667830921193
252,373920,0.017420881721245316
253,373945,0.01746202747439721
254,373970,0.017483533718679868
