Epoch,Steps,Train Loss,Train Accuracy,Learning Rate
1,6250,4.314766904296875,4.742,0.1
2,12500,3.74613071100235,12.3,0.1
3,18750,3.3663627180671694,18.75,0.1
4,25000,3.0976544902896883,24.024,0.1
5,31250,2.871091171541214,28.32,0.1
6,37500,2.6588458782339095,32.36,0.1
7,43750,2.4681895405197145,36.314,0.1
8,50000,2.292227731180191,40.102,0.1
9,56250,2.1637844346809385,42.996,0.1
10,62500,2.0502291301107407,45.27,0.1
11,68750,1.9438862087368964,47.788,0.1
12,75000,1.8649999619626998,49.546,0.1
13,81250,1.778078245139122,51.48,0.1
14,87500,1.709197978694439,53.18,0.1
15,93750,1.644551669908762,54.86,0.1
16,100000,1.5860427924585343,56.284,0.1
17,106250,1.535587592636347,57.362,0.1
18,112500,1.4809469568550586,58.68,0.1
19,118750,1.4360971581950783,59.57,0.1
20,125000,1.3856289666104318,60.662,0.1
21,131250,1.3405415189158916,61.908,0.1
22,137500,1.3007542547047137,63.042,0.1
23,143750,1.2623653324645758,63.82,0.1
24,150000,1.2242292761486768,64.58,0.1
25,156250,1.192758530653119,65.406,0.1
26,162500,1.1518110919082165,66.618,0.1
27,168750,1.1215230592539907,67.556,0.1
28,175000,1.0945221877759694,68.166,0.1
29,181250,1.0637681255871057,68.868,0.1
30,187500,1.0341025103753805,69.782,0.1
31,190625,0.7743679636120796,76.588,0.11958131745004019
32,193750,0.6996416660630703,78.688,0.11958131745004019
33,196875,0.6593297475355864,79.932,0.11958131745004019
34,200000,0.6204827169048787,80.706,0.11958131745004019
35,203125,0.5941044832777977,81.428,0.11958131745004019
36,206250,0.5710152946341037,82.104,0.11958131745004019
37,209375,0.5554265801763535,82.556,0.11958131745004019
38,212500,0.5307696222448349,83.106,0.11958131745004019
39,215625,0.5085367135772109,83.932,0.11958131745004019
40,218750,0.48887548857063057,84.464,0.11958131745004019
41,221875,0.4694342890074849,85.108,0.11958131745004019
42,225000,0.45096179514840246,85.498,0.11958131745004019
43,228125,0.44494242127597333,85.836,0.11958131745004019
44,231250,0.4277820419019461,86.44,0.11958131745004019
45,234375,0.4108513759702444,86.768,0.11958131745004019
