Epoch,Steps,Full Gradient Norm
1,6250,0.16940398835327905
2,12500,0.1769258795750495
3,18750,0.16481359217129649
4,25000,0.1445235170939108
5,31250,0.15412996090926356
6,37500,0.15251777052300702
7,43750,0.13601143973273538
8,50000,0.13326814819490276
9,56250,0.12333102494133673
10,62500,0.14959030629471062
11,68750,0.11350704777281087
12,75000,0.12570221067396328
13,81250,0.11060990239934833
14,87500,0.10291405537417418
15,93750,0.12233106535832437
16,100000,0.09491010346661503
17,106250,0.092913160620805
18,112500,0.11100735827423036
19,118750,0.09722317147372253
20,125000,0.09826088100452454
21,131250,0.10399826190052168
22,137500,0.09840869394700637
23,143750,0.09114662266159548
24,150000,0.07577136818594188
25,156250,0.09017774522890587
26,162500,0.08287053047523651
27,168750,0.07552564099941103
28,175000,0.08947684333549993
29,181250,0.07427745676548611
30,187500,0.08772409976224477
31,190625,0.0638213684677173
32,193750,0.06126418965927384
33,196875,0.059329223621423614
34,200000,0.060550057069996714
35,203125,0.06159415613928166
36,206250,0.05920122481613424
37,209375,0.05904956540430877
38,212500,0.06398989826845558
39,215625,0.0691445259218164
40,218750,0.06500252261571722
41,221875,0.06028564177104724
42,225000,0.06321868549389138
43,228125,0.05718813614359179
44,231250,0.05324055674305014
45,234375,0.053731585493495465
46,237500,0.05969188485803961
47,240625,0.0611128862665118
48,243750,0.05414380884289203
49,246875,0.05344062098447662
50,250000,0.05272193732462007
51,253125,0.061856325133696065
52,256250,0.048688483541796286
53,259375,0.05959752007760848
54,262500,0.053327227419623306
55,265625,0.05405546733961482
56,268750,0.05000077526764341
57,271875,0.04466621305104366
58,275000,0.050571328947552834
59,278125,0.050168871544055534
60,281250,0.045895637063462356
61,282813,0.031552539054173184
62,284376,0.02694170479256597
63,285939,0.030241624433779368
64,287502,0.030911455804059264
65,289065,0.02913810317031424
66,290628,0.02694298821395739
67,292191,0.025837355510472084
68,293754,0.024374596660235254
69,295317,0.03213645716871306
70,296880,0.02602003057739477
71,298443,0.027298701116199312
72,300006,0.0258283008192688
73,301569,0.025474525377505993
74,303132,0.028694691519651615
75,304695,0.023866995232252816
76,306258,0.023265231762584666
77,307821,0.023700324048425103
78,309384,0.02325207317421722
79,310947,0.028036059212455763
80,312510,0.023699676807831076
81,314073,0.022491604625640867
82,315636,0.02376387152143255
83,317199,0.022820773464392163
84,318762,0.022706263815126807
85,320325,0.025002169485714775
86,321888,0.02532371353098167
87,323451,0.02063906252735906
88,325014,0.022578626559052208
89,326577,0.024915358442564376
90,328140,0.022307978546463488
91,328922,0.013270874364847115
92,329704,0.013907993633933888
93,330486,0.012216081229726398
94,331268,0.013020020830319968
95,332050,0.012500311416050031
96,332832,0.01142137047322289
97,333614,0.010432701515726285
98,334396,0.011388229927426914
99,335178,0.01261909434321755
100,335960,0.011205395672065339
101,336742,0.012424971854105406
102,337524,0.010522266798602908
103,338306,0.01183493239636487
104,339088,0.011473723077532541
105,339870,0.010935881565872918
106,340652,0.011221172292235787
107,341434,0.012039061157661804
108,342216,0.01040029339681177
109,342998,0.01196468441209006
110,343780,0.010707185332363827
111,344562,0.010859678314157531
112,345344,0.011116459012979536
113,346126,0.010069812175805505
114,346908,0.011477245376449986
115,347690,0.010440337257808772
116,348472,0.009471491579563975
117,349254,0.01032768356067051
118,350036,0.009963954340850633
119,350818,0.010196381380315308
120,351600,0.010479942663942692
121,351991,0.008432783222038673
122,352382,0.007644459461960791
123,352773,0.007435922031610851
124,353164,0.007177832846814099
125,353555,0.006786367259491944
126,353946,0.006562528825111423
127,354337,0.0076774684561225085
128,354728,0.006895373079945349
129,355119,0.006699220340931366
130,355510,0.0069872357595783426
131,355901,0.006676082886196383
132,356292,0.006623431657038363
133,356683,0.006846218928612992
134,357074,0.006972979669564099
135,357465,0.006048662256370611
136,357856,0.006764736809873465
137,358247,0.006907894993666391
138,358638,0.006495329808824418
139,359029,0.006554724820325605
140,359420,0.006404042472279439
141,359811,0.006401047243446746
142,360202,0.006952226355821211
143,360593,0.006417812359826551
144,360984,0.006831035999610084
145,361375,0.0060586216926339365
146,361766,0.006839178332270185
147,362157,0.006259640815743784
148,362548,0.00625299688426974
149,362939,0.006049959312372612
150,363330,0.006129178642799182
151,363526,0.0058527364548918645
152,363722,0.005515641658852614
153,363918,0.005310896327730636
154,364114,0.0051767360312443035
155,364310,0.005296662339709674
156,364506,0.00494475199134227
157,364702,0.0052977619046265904
158,364898,0.005198582258168109
159,365094,0.005038349870489424
160,365290,0.004171314131785941
161,365486,0.00538498594838897
162,365682,0.004962004045927286
163,365878,0.004930830303688916
164,366074,0.004842374937437481
165,366270,0.004608637641991225
166,366466,0.005209349091843833
167,366662,0.00460331475009657
168,366858,0.004862562854090696
169,367054,0.004978276917397736
170,367250,0.004782123606959455
171,367446,0.005049631242747512
172,367642,0.004730915472118679
173,367838,0.004763917833017548
174,368034,0.004710341809365218
175,368230,0.0046342907052997
176,368426,0.004899613006286152
177,368622,0.004190935066957723
178,368818,0.004882239476804427
179,369014,0.0044495268396450745
180,369210,0.004615104411949172
181,369308,0.004385495542618337
182,369406,0.004473719793053128
183,369504,0.004376689765674667
184,369602,0.0046455596954701065
185,369700,0.0040131305567395565
186,369798,0.004263852645258953
187,369896,0.004394710203973372
188,369994,0.0038027365785217003
189,370092,0.004114462887676233
190,370190,0.00447078619268605
191,370288,0.0044141646248987195
192,370386,0.004008456591037629
193,370484,0.0040610155479145135
194,370582,0.003805424107264449
195,370680,0.004270078848941124
196,370778,0.004007237024834525
197,370876,0.003974713149718838
