Epoch,Steps,Train Loss,Train Accuracy,Learning Rate
1,6250,4.217199712409973,5.724,0.1
2,12500,3.6202732355499267,14.368,0.1
3,18750,3.2412319041633606,21.044,0.1
4,25000,2.9463408385944367,26.434,0.1
5,31250,2.7028649172782897,31.656,0.1
6,37500,2.484223147611618,35.982,0.1
7,43750,2.304682343354225,40.13,0.1
8,50000,2.1599134571027756,42.958,0.1
9,56250,2.0437043516302107,45.554,0.1
10,62500,1.9350925419044496,47.878,0.1
11,68750,1.8513131305170059,49.984,0.1
12,75000,1.7814871323680879,51.544,0.1
13,81250,1.7046153610444068,53.366,0.1
14,87500,1.6432713183927536,54.626,0.1
15,93750,1.5817742269086839,55.972,0.1
16,100000,1.5329713637745381,57.246,0.1
17,106250,1.479467017325759,58.582,0.1
18,112500,1.4224557275807856,59.878,0.1
19,118750,1.3824540653073787,60.888,0.1
20,125000,1.334219078296423,62.106,0.1
21,131250,1.2961731484943628,62.826,0.1
22,137500,1.2658748589256406,63.768,0.1
23,143750,1.2236260107499362,64.74,0.1
24,150000,1.1864471037775277,65.906,0.1
25,156250,1.1470189014264942,66.724,0.1
26,162500,1.1245221280759572,67.2,0.1
27,168750,1.0858873349300027,68.428,0.1
28,175000,1.0563607027736306,69.0,0.1
29,181250,1.0199005787786841,70.068,0.1
30,187500,1.0008299351668357,70.64,0.1
31,193056,0.9058048859033452,73.134,0.1002797744539856
32,198612,0.87078109450063,73.88,0.1002797744539856
33,204168,0.8420432809419471,74.576,0.1002797744539856
34,209724,0.8214188708408814,75.206,0.1002797744539856
35,215280,0.794800260600408,75.914,0.1002797744539856
36,220836,0.7797661132714426,76.296,0.1002797744539856
37,226392,0.759067511305101,76.868,0.1002797744539856
38,231948,0.7244419945332945,77.714,0.1002797744539856
39,237504,0.7189431189421277,78.218,0.1002797744539856
40,243060,0.6919880124253017,79.008,0.1002797744539856
41,248616,0.6774571162791693,79.152,0.1002797744539856
42,254172,0.6613483288073262,79.58,0.1002797744539856
43,259728,0.631662729251818,80.588,0.1002797744539856
44,265284,0.6241053938482639,80.798,0.1002797744539856
45,270840,0.609646941435522,81.198,0.1002797744539856
46,276396,0.5907723694861481,81.608,0.1002797744539856
47,281952,0.5847433017512909,81.822,0.1002797744539856
48,287508,0.5669743772481298,82.31,0.1002797744539856
49,293064,0.5541386886093668,82.846,0.1002797744539856
