Epoch,Steps,Train Loss,Train Accuracy,Learning Rate
1,391,nan,0.968,0.09933444444444464
2,782,nan,1.0,0.09867111111111122
3,1173,nan,1.0,0.09801000000000049
4,1564,nan,1.0,0.09735111111111164
5,1955,nan,1.0,0.09669444444444507
6,2346,nan,1.0,0.09604000000000046
7,2737,nan,1.0,0.09538777777777861
8,3128,nan,1.0,0.09473777777777845
9,3519,nan,1.0,0.09409000000000074
10,3910,nan,1.0,0.09344444444444511
11,4301,nan,1.0,0.0928011111111118
12,4692,nan,1.0,0.09216000000000117
13,5083,nan,1.0,0.09152111111111214
14,5474,nan,1.0,0.09088444444444552
15,5865,nan,1.0,0.09025000000000104
16,6256,nan,1.0,0.08961777777777889
17,6647,nan,1.0,0.08898777777777875
18,7038,nan,1.0,0.08836000000000073
19,7429,nan,1.0,0.08773444444444525
20,7820,nan,1.0,0.08711111111111178
21,8211,nan,1.0,0.0864900000000007
22,8602,nan,1.0,0.08587111111111191
23,8993,nan,1.0,0.08525444444444541
24,9384,nan,1.0,0.08464000000000092
25,9775,nan,1.0,0.08402777777777876
26,10166,nan,1.0,0.083417777777779
27,10557,nan,1.0,0.08281000000000131
28,10948,nan,1.0,0.08220444444444575
29,11339,nan,1.0,0.08160111111111246
30,11730,nan,1.0,0.08100000000000127
31,12121,nan,1.0,0.08040111111111242
32,12512,nan,1.0,0.07980444444444564
33,12903,nan,1.0,0.07921000000000131
34,13294,nan,1.0,0.07861777777777917
35,13685,nan,1.0,0.07802777777777911
36,14076,nan,1.0,0.07744000000000151
37,14467,nan,1.0,0.07685444444444599
38,14858,nan,1.0,0.07627111111111264
39,15249,nan,1.0,0.0756900000000014
40,15640,nan,1.0,0.07511111111111247
41,16031,nan,1.0,0.07453444444444594
42,16422,nan,1.0,0.07396000000000137
43,16813,nan,1.0,0.07338777777777922
44,17204,nan,1.0,0.07281777777777923
45,17595,nan,1.0,0.07225000000000156
46,17986,nan,1.0,0.07168444444444592
47,18377,nan,1.0,0.07112111111111255
48,18768,nan,1.0,0.0705600000000015
49,19159,nan,1.0,0.07000111111111279
50,19550,nan,1.0,0.06944444444444614
51,19941,nan,1.0,0.06889000000000163
52,20332,nan,1.0,0.06833777777777958
53,20723,nan,1.0,0.06778777777777968
54,21114,nan,1.0,0.06724000000000205
55,21505,nan,1.0,0.06669444444444636
56,21896,nan,1.0,0.06615111111111309
57,22287,nan,1.0,0.06561000000000217
58,22678,nan,1.0,0.06507111111111308
