Epoch,Steps,Learning Rate,Batch Size
1,0,0.1,128
1,1,0.09999829497742979,128
1,2,0.09999658996939524,128
1,3,0.09999488497589629,128
1,4,0.09999317999693298,128
1,5,0.09999147503250531,128
1,6,0.09998977008261331,128
1,7,0.09998806514725692,128
1,8,0.09998636022643613,128
1,9,0.09998465532015101,128
1,10,0.0999829504284015,128
1,11,0.0999812455511876,128
1,12,0.09997954068850937,128
1,13,0.09997783584036678,128
1,14,0.09997613100675981,128
1,15,0.09997442618768848,128
1,16,0.09997272138315277,128
1,17,0.09997101659315272,128
1,18,0.09996931181768828,128
1,19,0.09996760705675949,128
1,20,0.09996590231036634,128
1,21,0.09996419757850879,128
1,22,0.09996249286118689,128
1,23,0.09996078815840061,128
1,24,0.09995908347014999,128
1,25,0.099957378796435,128
1,26,0.09995567413725565,128
1,27,0.09995396949261193,128
1,28,0.09995226486250382,128
1,29,0.09995056024693136,128
1,30,0.09994885564589454,128
1,31,0.09994715105939338,128
1,32,0.0999454464874278,128
1,33,0.09994374192999787,128
1,34,0.09994203738710357,128
1,35,0.09994033285874492,128
1,36,0.09993862834492188,128
1,37,0.09993692384563449,128
1,38,0.09993521936088276,128
1,39,0.09993351489066662,128
1,40,0.09993181043498614,128
1,41,0.09993010599384128,128
1,42,0.09992840156723208,128
1,43,0.09992669715515849,128
1,44,0.09992499275762053,128
1,45,0.09992328837461822,128
1,46,0.09992158400615153,128
1,47,0.09991987965222046,128
1,48,0.09991817531282504,128
1,49,0.09991647098796529,128
1,50,0.09991476667764113,128
1,51,0.0999130623818526,128
1,52,0.09991135810059971,128
1,53,0.09990965383388249,128
1,54,0.09990794958170088,128
1,55,0.0999062453440549,128
1,56,0.09990454112094456,128
1,57,0.09990283691236983,128
1,58,0.09990113271833075,128
1,59,0.0998994285388273,128
1,60,0.09989772437385949,128
1,61,0.0998960202234273,128
1,62,0.09989431608753076,128
1,63,0.09989261196616986,128
1,64,0.09989090785934457,128
1,65,0.09988920376705493,128
1,66,0.09988749968930093,128
1,67,0.09988579562608256,128
1,68,0.0998840915773998,128
1,69,0.0998823875432527,128
1,70,0.09988068352364123,128
1,71,0.0998789795185654,128
1,72,0.09987727552802518,128
1,73,0.0998755715520206,128
1,74,0.09987386759055168,128
1,75,0.09987216364361837,128
1,76,0.09987045971122069,128
1,77,0.09986875579335865,128
1,78,0.09986705189003225,128
1,79,0.09986534800124149,128
1,80,0.09986364412698634,128
1,81,0.09986194026726686,128
1,82,0.09986023642208298,128
1,83,0.09985853259143473,128
1,84,0.09985682877532213,128
1,85,0.09985512497374517,128
1,86,0.09985342118670383,128
1,87,0.09985171741419813,128
1,88,0.09985001365622806,128
1,89,0.09984830991279363,128
1,90,0.09984660618389483,128
1,91,0.09984490246953166,128
1,92,0.09984319876970416,128
1,93,0.09984149508441224,128
1,94,0.09983979141365597,128
1,95,0.09983808775743531,128
1,96,0.09983638411575034,128
1,97,0.09983468048860099,128
1,98,0.09983297687598724,128
1,99,0.09983127327790917,128
