Epoch,Steps,Train Loss,Train Accuracy,Learning Rate
199,77809,nan,1.0,0.1
200,78200,nan,1.0,0.1
201,78591,nan,1.0,0.1
202,78982,nan,1.0,0.1
203,79373,nan,1.0,0.1
204,79764,nan,1.0,0.1
205,80155,nan,1.0,0.1
206,80546,nan,1.0,0.1
207,80937,nan,1.0,0.1
208,81328,nan,1.0,0.1
209,81719,nan,1.0,0.1
210,82110,nan,1.0,0.1
211,82501,nan,1.0,0.1
212,82892,nan,1.0,0.1
213,83283,nan,1.0,0.1
214,83674,nan,1.0,0.1
215,84065,nan,1.0,0.1
216,84456,nan,1.0,0.1
217,84847,nan,1.0,0.1
218,85238,nan,1.0,0.1
219,85629,nan,1.0,0.1
220,86020,nan,1.0,0.1
221,86411,nan,1.0,0.1
222,86802,nan,1.0,0.1
223,87193,nan,1.0,0.1
224,87584,nan,1.0,0.1
225,87975,nan,1.0,0.1
226,88366,nan,1.0,0.1
227,88757,nan,1.0,0.1
228,89148,nan,1.0,0.1
229,89539,nan,1.0,0.1
230,89930,nan,1.0,0.1
231,90321,nan,1.0,0.1
232,90712,nan,1.0,0.1
233,91103,nan,1.0,0.1
234,91494,nan,1.0,0.1
235,91885,nan,1.0,0.1
236,92276,nan,1.0,0.1
237,92667,nan,1.0,0.1
238,93058,nan,1.0,0.1
239,93449,nan,1.0,0.1
240,93840,nan,1.0,0.1
241,94231,nan,1.0,0.1
242,94622,nan,1.0,0.1
243,95013,nan,1.0,0.1
244,95404,nan,1.0,0.1
245,95795,nan,1.0,0.1
246,96186,nan,1.0,0.1
247,96577,nan,1.0,0.1
248,96968,nan,1.0,0.1
249,97359,nan,1.0,0.1
250,97750,nan,1.0,0.1
251,98141,nan,1.0,0.1
252,98532,nan,1.0,0.1
253,98923,nan,1.0,0.1
254,99314,nan,1.0,0.1
255,99705,nan,1.0,0.1
256,100096,nan,1.0,0.1
257,100487,nan,1.0,0.1
258,100878,nan,1.0,0.1
259,101269,nan,1.0,0.1
260,101660,nan,1.0,0.1
261,102051,nan,1.0,0.1
262,102442,nan,1.0,0.1
263,102833,nan,1.0,0.1
264,103224,nan,1.0,0.1
265,103615,nan,1.0,0.1
266,104006,nan,1.0,0.1
267,104397,nan,1.0,0.1
268,104788,nan,1.0,0.1
269,105179,nan,1.0,0.1
270,105570,nan,1.0,0.1
271,105961,nan,1.0,0.1
272,106352,nan,1.0,0.1
273,106743,nan,1.0,0.1
274,107134,nan,1.0,0.1
275,107525,nan,1.0,0.1
276,107916,nan,1.0,0.1
277,108307,nan,1.0,0.1
278,108698,nan,1.0,0.1
279,109089,nan,1.0,0.1
280,109480,nan,1.0,0.1
281,109871,nan,1.0,0.1
282,110262,nan,1.0,0.1
283,110653,nan,1.0,0.1
284,111044,nan,1.0,0.1
285,111435,nan,1.0,0.1
286,111826,nan,1.0,0.1
287,112217,nan,1.0,0.1
288,112608,nan,1.0,0.1
289,112999,nan,1.0,0.1
290,113390,nan,1.0,0.1
291,113781,nan,1.0,0.1
292,114172,nan,1.0,0.1
293,114563,nan,1.0,0.1
294,114954,nan,1.0,0.1
295,115345,nan,1.0,0.1
296,115736,nan,1.0,0.1
297,116127,nan,1.0,0.1
298,116518,nan,1.0,0.1
299,116909,nan,1.0,0.1
300,117300,nan,1.0,0.1
